Length,Item1,Item2,Hash,NumChecked,Time
8,5,22,10011101,23,0.0354771614074707
10,5,22,1001110111,23,0.0001671314239501953
12,25,36,110100100110,37,0.0002601146697998047
14,137,256,10100101100110,257,0.0016980171203613281
16,237,479,1111110100010000,480,0.003278017044067383
18,985,1044,110011110101110010,1045,0.006974935531616211
20,52,1150,10111011110000000000,1151,0.0072138309478759766
22,625,2568,1001010100000101010011,2569,0.016086101531982422
24,847,2833,111000110010011100001110,2834,0.017859220504760742
26,1157,2883,10000001100100101100110110,2884,0.018069982528686523
28,5946,21489,1111011100101100110000011011,21490,0.13212299346923828
30,29077,65855,110110001011000001000001010010,65856,0.40552592277526855
32,20434,80014,11110010110011010010011011001000,80015,0.49403905868530273
34,5656,93328,1100000001100101010010101110100001,93329,0.5761048793792725
36,5656,93328,110000000110010101001010111010000110,93329,0.5717921257019043
38,138327,532375,10010111101010001111110111100011110000,532376,3.298456907272339
40,138327,532375,1001011110101000111111011110001111000011,532376,3.2811481952667236
42,138327,532375,100101111010100011111101111000111100001101,532376,3.2947959899902344
44,1420989,2391154,11100110011101110111110001111001110101010011,2391155,15.114759922027588
46,1420989,2391154,1110011001110111011111000111100111010101001111,2391155,15.416539907455444
48,15735193,16920538,111101111001011111001101000011001010100101100011,16920539,110.98635506629944
50,2196758,18177096,11010101000011000101000010100111001110011100100000,18177097,120.26628994941711
